district,date,total_bio_updates,mean_updates,std_updates,z_score
Imphal East,2025-07-01,22188,681.3103448275862,2388.454561691269,9.004437430010595
Thoubal,2025-07-01,19479,644.1724137931035,2105.54839129082,8.945331137538037
Imphal West,2025-07-01,18970,704.7241379310345,2060.7337183389213,8.863481826653423
Bishnupur,2025-07-01,9829,352.43023255813955,1071.4726703516676,8.844434421581242
Serchhip,2025-03-01,4123,91.6144578313253,466.50623688940595,8.6416541160293
Kakching,2025-07-01,786,25.271604938271604,88.87561706476063,8.559472442339406
Chandigarh,2025-07-01,32547,865.8372093023256,3714.9867448436316,8.527934274508743
Aizawl,2025-03-01,15783,433.0689655172414,1817.7805262737527,8.444325820757033
Maihar,2025-07-01,310,19.0125,35.36983401470592,8.226996481776375
Dantewada,2025-07-01,5961,225.33333333333334,706.6943637066729,8.116191328571803
Mayiladuthurai,2025-03-01,839,51.91566265060241,97.55038783276991,8.068490088411457
Banas Kantha,2025-07-01,111,7.391891891891892,12.962345432499482,7.993006253971565
Kolasib,2025-03-01,4946,131.6987951807229,608.2836255768128,7.914566498899347
Dhaulpur,2025-07-01,102,5.797101449275362,12.178307269298104,7.89952958349599
Pandhurna,2025-06-01,85,5.463768115942029,10.087236708634693,7.884838452930802
Champhai,2025-03-01,7852,199.6,970.92812963236,7.881530842965242
S.A.S Nagar(Mohali),2025-07-01,519,33.353658536585364,62.064158749351314,7.824908147465876
Senapati,2025-07-01,5352,259.7241379310345,662.2634143541229,7.6892000247895975
Saiha,2025-03-01,2617,71.95,334.15758050296415,7.616316817261083
Thiruvallur,2025-03-01,458,34.903614457831324,57.188736409735675,7.398246789557353
Ukhrul,2025-07-01,3154,157.35632183908046,414.1917873095576,7.234918146557299
Kamrup,2025-04-01,9231,497.14942528735634,1211.0613212897538,7.2117327348967635
Mamit,2025-03-01,4652,139.15584415584416,627.0394947884918,7.197065246051836
Tenkasi,2025-03-01,1364,121.46428571428571,173.1859816823835,7.174574421181949
North Dinajpur,2025-07-01,191,14.753086419753087,24.789882444354948,7.109630873638174
Lunglei,2025-03-01,5776,188.7530864197531,786.5535507971497,7.1034539325615285
NUAPADA,2025-07-01,48,4.402985074626866,6.1374649329184905,7.1034238731921935
Lahul & Spiti,2025-06-01,76,8.5,9.510863354035239,7.097147492016202
Bapatla,2025-06-01,1287,73.85185185185185,172.1809448742159,7.045774717024551
Dakshin Bastar Dantewada,2025-07-01,6255,323.9404761904762,841.933136331373,7.044573099537851
Lawngtlai,2025-03-01,3973,158.0,544.9004714711889,7.001278581572515
Lahul and Spiti,2025-06-01,128,11.08695652173913,16.79350288446203,6.961802089928073
Shamator,2025-07-01,67,3.3333333333333335,9.184044134621017,6.932312795260091
Bharatpur,2025-07-01,28123,1622.471264367816,3849.5452641115594,6.884067316389451
Kondagaon,2025-06-01,11672,666.8139534883721,1600.8199554245202,6.874718177531196
Mammit,2025-03-01,1320,42.64179104477612,186.78813970950486,6.838540235701189
Churachandpur,2025-07-01,3661,223.95238095238096,503.1064680433295,6.831650629368587
Ahmadabad,2025-05-01,2835,186.6904761904762,388.1358592160856,6.823150865674433
Cachar,2025-04-01,12349,760.2873563218391,1702.951971274054,6.805073096106247
Darrang,2025-04-01,4889,301.8965517241379,675.892347876645,6.786736767602879
Pashchim Champaran,2025-04-01,41,5.042857142857143,5.325453547496442,6.751940005944983
Biswanath,2025-04-01,1786,109.74712643678161,249.16895446574713,6.7273745124361
Rewari,2025-07-01,10408,571.6321839080459,1464.5438540199134,6.716335457687298
Marigaon,2025-04-01,6220,390.0689655172414,874.4463337091016,6.666996943945308
Maldah,2025-07-01,2361,162.94252873563218,329.73923299317374,6.66604774722052
North East,2025-04-01,12486,542.0930232558139,1792.96382712048,6.661543750119174
Hailakandi,2025-07-01,3858,242.79310344827587,546.5715157345372,6.614334615833847
Sibsagar,2025-07-01,1964,130.80459770114942,277.32638981936657,6.610245074379261
Hamirpur,2025-07-01,15562,892.1136363636364,2221.890809321544,6.602433522876772
SAS Nagar (Mohali),2025-07-01,13702,664.8390804597701,1977.8516820351767,6.591576627285423
Bid,2025-07-01,1365,117.76190476190476,189.4852010655032,6.582245411381425
Lalitpur,2025-07-01,15205,878.1395348837209,2180.682554575601,6.569897317266582
Bardhaman,2025-07-01,2075,166.76470588235293,291.60527164950486,6.543898480721746
South Dinajpur,2025-07-01,341,25.602409638554217,48.22051475153829,6.540734622734077
Barmer,2025-07-01,36267,2235.965909090909,5211.456152430864,6.5300432538486275
Rajnandgaon,2025-06-01,29871,1775.83908045977,4303.21427424697,6.528877980275959
Bagalkot *,2025-07-01,250,20.783132530120483,35.27109235508941,6.498717566279312
Uttar Bastar Kanker,2025-06-01,5510,356.4823529411765,793.7413908309226,6.49269107872011
Sakti,2025-06-01,1110,48.48192771084337,163.50515479647453,6.492260587199817
Kasargod,2025-06-01,169,26.073170731707318,22.021190965766078,6.4904223159630785
